RFC,RAZON SOCIAL,SUPUESTO,EJERCICIO,PERIODO,FECHA DE PRIMERA PUBLICACION
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MTP850101EU1,MUNICIPIO DE TEOTLALCO PUEBLA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,4,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,5,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
ICE050113LV7,INSTITUTO DE CATASTRO DEL ESTADO DE TLAXCALA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,6,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
